game_id|final_score
1220|360
1221|751
1222|1265
1223|480
1224|613
1225|970
1226|1324
1227|706
1228|440
1229|887
1230|520
1231|675
1232|533
1233|1432
1234|629
1235|485
1236|1618
1237|579
1238|536
1239|854
1240|1319
1241|873
1242|446
1243|579
1244|400
1245|488
1246|713
1247|716
1248|493
1249|1123
1250|715
1251|446
1252|445
1253|581
1254|803
1255|842
1256|526
1257|930
1258|580
1259|446
1260|1068
1261|320
1262|487
1263|534
1264|787
1265|729
1266|841
1267|667
1268|846
1269|660
1270|1290
1271|446
1272|948
1273|661
1274|360
1275|1167
1276|440
1277|536
1278|1232
1279|981
1280|802
1281|1103
1282|760
1283|710
1284|785
1285|629
1286|1358
1287|934
1288|533
1289|407
1290|943
1291|764
1292|360
1293|673
1294|491
1295|835
1296|659
1297|630
1298|560
1299|400
1300|567
1301|406
1302|929
1303|905
1304|533
1305|492
1306|1082
1307|1107
1308|677
1309|2083
1310|757
1311|405
1312|802
1313|486
1314|1914
1315|1222
1316|320
1317|440
1318|527
1319|440
1320|567
1321|1568
1322|1075
1323|629
1324|1676
1325|1601
1326|440
1327|713
1328|1212
1329|921
1330|527
1331|666
1332|1108
1333|789
1334|969
1335|573
1336|447
1337|360
1338|360
1339|520
1340|488
1341|360
1342|538
1343|446
1344|757
1345|648
1346|1287
1347|787
1348|624
1349|838
1350|1527
1351|1459
1352|400
1353|526
1354|445
1355|748
1356|847
1357|578
1358|998
1359|582
1360|320
1361|1157
1362|713
1363|1072
1364|849
1365|1273
1366|400
1367|532
1368|1101
1369|446
1370|531
1371|1202
1372|1084
1373|629
1374|400
1375|365
1376|500
1377|713
1378|2044
1379|1144
1380|871
1381|935
1382|531
1383|534
1384|1132
1385|601
1386|616
1387|841
1388|935
1389|883
1390|480
1391|2630
1392|705
1393|740
1394|446
1395|535
1396|487
1397|447
1398|940
1399|1179
1400|445
1401|1435
1402|834
1403|526
1404|1568
1405|400
1406|618
1407|573
1408|574
1409|716
1410|1368
1411|487
1412|360
1413|486
1414|446
1415|659
1416|360
1417|1126
1418|446
1419|535
1420|487
1421|532
1422|360
1423|486
1424|488
1425|936
1426|487
1427|360
1428|589
1429|1670
1430|849
1431|768
1432|1250
1433|1381
1434|1107
1435|445
1436|493
1437|532
1438|751
1439|1431
1440|525
1441|805
1442|488
1443|1519
1444|573
1445|573
1446|360
1447|400
1448|854
1449|1082
1450|1049
1451|708
1452|446
1453|487
1454|616
1455|1495
1456|487
1457|480
1458|486
1459|1273
1460|492
1461|540
1462|1109
1463|585
1464|625
1465|445
1466|657
1467|540
1468|736
1469|586
1470|578
1471|752
1472|629
1473|320
1474|1165
1475|618
1476|884
1477|1246
1478|446
1479|583
1480|618
1481|360
1482|795
1483|360
1484|747
1485|540
1486|868
1487|910
1488|480
1489|492
1490|485
1491|573
1492|761
1493|652
1494|538
1495|745
1496|771
1497|1601
1498|487
1499|878
1500|934
1501|752
1502|661
1503|571
1504|979
1505|859
1506|814
1507|440
1508|446
1509|400
1510|574
1511|400
1512|400
1513|705
1514|717
1515|440
1516|571
1517|902
1518|960
1519|992
1520|1494
1521|526
1522|526
1523|360
1524|488
1525|607
1526|400
1527|446
1528|360
1529|1130
1530|615
1531|400
1532|614
1533|360
1534|1130
1535|488
1536|440
1537|1444
1538|1708
1539|1608
1540|440
1541|447
1542|1158
1543|731
1544|532
1545|400
1546|1617
1547|673
1548|440
1549|747
1550|1399
1551|400
1552|487
1553|533
1554|572
1555|809
1556|2229
1557|485
1558|796
1559|360
1560|1759
1561|526
1562|320
1563|360
1564|1150
1565|480
1566|1245
1567|766
1568|794
1569|709
1570|1042
1571|446
1572|487
1573|440
1574|678
1575|486
1576|621
1577|713
1578|1099
1579|788
1580|446
1581|747
1582|1557
1583|419
1584|695
1585|586
1586|620
1587|534
1588|621
1589|408
1590|1473
1591|445
1592|538
1593|538
1594|487
1595|618
1596|501
1597|849
1598|488
1599|796
1600|581
1601|749
1602|679
1603|1833
1604|941
1605|1064
1606|934
1607|487
1608|687
1609|440
1610|320
1611|1417
1612|1777
1613|629
1614|1711
1615|400
1616|1602
1617|926
1618|1435
1619|663
1620|1126
1621|844
1622|400
1623|400
1624|446
1625|1878
1626|445
1627|1002
1628|360
1629|531
1630|575
1631|1100
1632|533
1633|486
1634|804
1635|360
1636|587
1637|955
1638|400
1639|440
1640|814
1641|702
1642|320
1643|583
1644|580
1645|1338
1646|485
1647|400
1648|659
1649|400
1650|1038
1651|1197
1652|580
1653|931
1654|967
1655|567
1656|707
1657|923
1658|527
1659|457
1660|948
1661|581
1662|1117
1663|936
1664|1595
1665|623
1666|405
1667|1034
1668|406
1669|1249
1670|532
1671|1004
1672|842
1673|574
1674|2178
1675|988
1676|672
1677|819
1678|480
1679|1158
1680|448
1681|488
1682|799
1683|360
1684|630
1685|653
1686|320
1687|540
1688|853
1689|762
1690|400
1691|729
1692|667
1693|931
1694|654
1695|940
1696|1193
1697|567
1698|446
1699|567
1700|752
1701|617
1702|841
1703|747
1704|729
1705|1425
1706|1404
1707|926
1708|491
1709|574
1710|1150
1711|634
1712|572
1713|1093
1714|492
1715|583
1716|1196
1717|1193
1718|1486
1719|480
1720|360
1721|1186
1722|1602
1723|712
1724|1025
1725|480
1726|877
1727|535
1728|400
1729|532
1730|624
1731|532
1732|360
1733|446
1734|440
1735|406
1736|493
1737|360
1738|486
1739|579
1740|400
1741|480
1742|1107
1743|1599
1744|626
1745|615
1746|400
